year,geo_name,geo,high_school_graduation
2016,"Stewart County","05000US47161",0.975
2016,"Hancock County","05000US21091",0.975
2017,"Stewart County","05000US47161",0.975
2016,"Green County","05000US21087",0.975
2015,"Ochiltree County","05000US48357",0.975
2015,"Montgomery County","05000US18107",0.975
2016,"Trousdale County","05000US47169",0.975
2017,"Trousdale County","05000US47169",0.975
2016,"Morris County","05000US48343",0.975
2016,"Clay County","05000US47027",0.975
2015,"Trousdale County","05000US47169",0.975
2015,"Unicoi County","05000US47171",0.975
2016,"Unicoi County","05000US47171",0.975
2017,"Van Buren County","05000US47175",0.975
2017,"Fleming County","05000US21069",0.975
2016,"Stone County","05000US05137",0.975
2017,"Wayne County","05000US47181",0.975
2015,"Bailey County","05000US48017",0.975
2016,"Estill County","05000US21065",0.975
2015,"Marion County","05000US48315",0.975
2017,"Knox County","05000US48275",0.974
2017,"Dallas County","05000US19049",0.974
2017,"Edwards County","05000US48137",0.974
2016,"Lampasas County","05000US48281",0.973
2015,"Harmon County","05000US40057",0.973
2017,"Lampasas County","05000US48281",0.973
2016,"Yankton County","05000US46135",0.973
2017,"Oldham County","05000US48359",0.973
2017,"Newton County","05000US48351",0.972
2017,"Kendall County","05000US48259",0.972
2015,"Chambers County","05000US48071",0.972
2017,"Baylor County","05000US48023",0.972
2015,"Woodford County","05000US21239",0.972
2017,"Brewster County","05000US48043",0.972
2017,"Marengo County","05000US01091",0.971
2017,"Bosque County","05000US48035",0.971
2016,"Titus County","05000US48449",0.971
2016,"Madison County","05000US19121",0.971
2017,"Madison County","05000US19121",0.971
2017,"Concho County","05000US48095",0.971
2015,"Parker County, TX","05000US48367",0.971
2015,"Madison County","05000US48313",0.97
2016,"Carter County","05000US21043",0.97
2017,"Montgomery County, TN","05000US47125",0.97
2015,"Lyon County","05000US21143",0.97
2016,"Morgan County","05000US47129",0.97
2017,"Wise County","05000US48497",0.97
2017,"Runnels County","05000US48399",0.97
2017,"Cooke County","05000US48097",0.97
2016,"Calhoun County","05000US48057",0.97
2017,"Henry County","05000US21103",0.97
2017,"Mineral County","05000US54057",0.97
2017,"Crockett County","05000US47033",0.97
2016,"Henderson County","05000US47077",0.97
2017,"McCulloch County","05000US48307",0.97
2015,"Bracken County","05000US21023",0.97
2015,"Winneshiek County","05000US19191",0.969
2016,"Clay County","05000US05021",0.969
2015,"Shelby County","05000US19165",0.969
2017,"Lamb County","05000US48279",0.969
2016,"Yoakum County","05000US48501",0.969
2017,"Red River County","05000US48387",0.969
2015,"Emmet County","05000US19063",0.969
2015,"Warren County, OH","05000US39165",0.968
2015,"Yankton County","05000US46135",0.968
2016,"Delaware County","05000US19055",0.968
2017,"Delaware County","05000US19055",0.968
2016,"Mercer County","05000US21167",0.968
2017,"Jackson County","05000US27063",0.968
2017,"Boone County","05000US18011",0.968
2016,"Morgan County","05000US29141",0.968
2016,"Boone County","05000US18011",0.968
2017,"Parker County, TX","05000US48367",0.967
2017,"Carbon County","05000US49007",0.967
2016,"Fulton County","05000US39051",0.967
2015,"Ozaukee County","05000US55089",0.967
2015,"Lewis County","05000US21135",0.967
2017,"Randall County, TX","05000US48381",0.967
2017,"Hendricks County, IN","05000US18063",0.967
2016,"Wilson County","05000US48493",0.967
2017,"Logan County","05000US39091",0.967
2017,"Henderson County","05000US48213",0.967
2017,"Callahan County","05000US48059",0.967
2017,"Upton County","05000US48461",0.967
2015,"Hart County","05000US21099",0.966
2016,"Collin County, TX","05000US48085",0.966
2017,"Hamilton County","05000US48193",0.966
2016,"Jackson County","05000US27063",0.966
2016,"Live Oak County","05000US48297",0.966
2015,"Mercer County","05000US21167",0.966
2016,"Murray County","05000US40099",0.966
2017,"Wood County","05000US48499",0.966
2017,"Lewis County","05000US29111",0.966
2017,"Madison County","05000US29123",0.966
2015,"Dallas County","05000US19049",0.966
2016,"Delaware County, OH","05000US39041",0.966
2017,"Llano County","05000US48299",0.966
2017,"Cherokee County","05000US19035",0.966
2015,"Nemaha County","05000US20131",0.966
2015,"Mitchell County","05000US19131",0.966
2015,"Carter County","05000US21043",0.966
2017,"Calhoun County","05000US19025",0.966
2016,"Poweshiek County","05000US19157",0.966
2015,"Anderson County","05000US21005",0.965
2015,"Seward County","05000US31159",0.965
2017,"Searcy County","05000US05129",0.965
2016,"St. Croix County","05000US55109",0.965
2017,"Yankton County","05000US46135",0.965
2016,"Dallas County","05000US19049",0.965
2016,"Grundy County","05000US29079",0.965
2017,"Robertson County","05000US48395",0.965
2015,"Boone County","05000US18011",0.965
2016,"Cooke County","05000US48097",0.965
2015,"Dyer County","05000US47045",0.965
2015,"Morris County","05000US20127",0.965
2015,"Blanco County","05000US48031",0.965
2016,"Wood County","05000US48499",0.965
2016,"Blanco County","05000US48031",0.965
2017,"Cumberland County","05000US17035",0.964
2017,"Clay County","05000US19041",0.964
2016,"Upshur County","05000US48459",0.964
2017,"Ida County","05000US19093",0.964
2015,"Ida County","05000US19093",0.964
2016,"Ida County","05000US19093",0.964
2017,"Mitchell County","05000US19131",0.964
2017,"Mississippi County","05000US29133",0.964
2017,"Union County","05000US19175",0.964
2017,"Winneshiek County","05000US19191",0.964
2015,"Ottawa County","05000US20143",0.964
2017,"Lincoln County","05000US47103",0.963
2016,"Lee County","05000US48287",0.963
2017,"Collin County, TX","05000US48085",0.963
2017,"Young County","05000US48503",0.963
2015,"Pepin County","05000US55091",0.963
2017,"Leon County","05000US48289",0.963
2017,"Wheeler County","05000US48483",0.963
2016,"Young County","05000US48503",0.962
2015,"Butler County","05000US19023",0.962
2015,"Delaware County, OH","05000US39041",0.962
2017,"Milam County","05000US48331",0.962
2017,"Armstrong County","05000US48011",0.962
2015,"Oldham County","05000US21185",0.962
2015,"Gonzales County","05000US48177",0.962
2016,"Archer County","05000US48009",0.962
2017,"Coffee County","05000US01031",0.962
2016,"Richland County","05000US55103",0.961
2016,"Wright County","05000US19197",0.961
2017,"Wright County","05000US29229",0.961
2015,"Wright County","05000US29229",0.961
2015,"Lavaca County","05000US48285",0.961
2015,"Vernon County","05000US55123",0.961
2015,"Upshur County","05000US48459",0.961
2015,"Richland County","05000US55103",0.961
2016,"Osage County","05000US29151",0.961
2016,"Reeves County","05000US48389",0.961
2016,"Hendricks County, IN","05000US18063",0.96
2017,"Wilson County, TN","05000US47189",0.96
2015,"Wilson County, TN","05000US47189",0.96
