year,geo_name,geo,grads_total_growth
2015,"Ionia County","05000US26067",0.333333
2015,"Hanover County, VA","05000US51085",0.332061
2014,"St. Bernard Parish","05000US22087",0.331169
2015,"Edgecombe County","05000US37065",0.325221
2015,"Tuscarawas County","05000US39157",0.323864
2015,"Umatilla County","05000US41059",0.321782
2014,"Craven County, NC","05000US37049",0.320819
2014,"St. Mary Parish","05000US22101",0.320609
2014,"Wayne County, OH","05000US39169",0.31848
2015,"Goshen County","05000US56015",0.318182
2015,"Alamosa County","05000US08003",0.317889
2015,"Kanawha County, WV","05000US54039",0.31485
2014,"Hardy County","05000US54031",0.314815
2014,"Rockingham County","05000US51165",0.313726
2014,"Culpeper County","05000US51047",0.3125
2015,"Woodward County","05000US40153",0.311927
2014,"Plumas County","05000US06063",0.310484
2015,"Dodge County","05000US31053",0.310204
2014,"White County","05000US13311",0.309859
2015,"Wood County","05000US48499",0.307692
2015,"Scotland County","05000US37165",0.305882
2014,"Calhoun County","05000US05013",0.305382
2014,"Navarro County","05000US48349",0.30131
2014,"Lee County","05000US37105",0.301205
2014,"Spalding County","05000US13255",0.301006
2015,"Kauai County","05000US15007",0.300493
2015,"Fayette County, GA","05000US13113",0.3
2014,"Tazewell County","05000US51185",0.299363
2015,"Beaverhead County","05000US30001",0.29932
2015,"Yakima County, WA","05000US53077",0.298799
2014,"Somerset County","05000US42111",0.297872
2015,"Sawyer County","05000US55113",0.297872
2015,"Randolph County","05000US01111",0.296978
2015,"Rosebud County","05000US30087",0.296296
2014,"Orleans County","05000US50019",0.296296
2015,"Wayne County","05000US17191",0.294545
2014,"Pottawattamie County","05000US19155",0.294406
2015,"Jackson County","05000US54035",0.294118
2015,"Cumberland County, NC","05000US37051",0.290368
2014,"Moore County","05000US37125",0.289941
2015,"Henderson County, NC","05000US37089",0.288177
2015,"Falls Church city","05000US51610",0.288043
2015,"Coffee County","05000US13069",0.285714
2014,"Rosebud County","05000US30087",0.285714
2015,"Jackson County","05000US40065",0.284916
2015,"Pickaway County","05000US39129",0.284047
2015,"Warren County","05000US36113",0.283084
2015,"Jefferson County","05000US19101",0.281967
2014,"Delaware County, PA","05000US42045",0.281688
2014,"Polk County","05000US27119",0.28125
2015,"Barren County","05000US21009",0.28
